geolod_id,entry_id,body,body_kana,suffix,suffix_kana,fullname,ne_class,code,address,phone,longitude,latitude,address_level,note
gU2kIF,01,北海,ホッカイ,道,ドウ,北海道,都道府県,lasdec:010006/jisx0401:01,札幌市中央区北３条西６－１,011-231-4111,141.34693,43.06401,1,「北海道札幌市中央区北三条西六丁目1番地」の代表点
jYew2m,02,青森,アオモリ,県/,ケン/,青森県,都道府県,lasdec:020001/jisx0401:02,青森市長島１－１－１,017-722-1111,140.74018,40.82443,1,「青森県青森市長島一丁目1番」の代表点
naqIQ5,03,岩手,イワテ,県/,ケン/,岩手県,都道府県,lasdec:030007/jisx0401:03,盛岡市内丸１０－１,019-651-3111,141.1523,39.70362,1,「岩手県盛岡市内丸10番」の代表点
peCUEM,04,宮城,ミヤギ,県/,ケン/,宮城県,都道府県,lasdec:040002/jisx0401:04,仙台市青葉区本町３－８－１,022-211-2111,140.87178,38.2685,1,「宮城県仙台市青葉区本町三丁目8番」の代表点
sqO6su,05,秋田,アキタ,県/,ケン/,秋田県,都道府県,lasdec:050008/jisx0401:05,秋田市山王４－１－１,018-860-1111,140.1026,39.71813,1,「秋田県秋田市山王四丁目1番」の代表点
vu0igc,06,山形,ヤマガタ,県/,ケン/,山形県,都道府県,lasdec:060003/jisx0401:06,山形市松波２－８－１,023-630-2211,140.36293,38.2403,1,「山形県山形市松波二丁目8番」の代表点
yGcu4U,07,福島,フクシマ,県/,ケン/,福島県,都道府県,lasdec:070009/jisx0401:07,福島市杉妻町２－１６,024-521-1111,140.4675,37.75015,1,「福島県福島市杉妻町2番」の代表点
BKoGoC,08,茨城,イバラキ,県/,ケン/,茨城県,都道府県,lasdec:080004/jisx0401:08,水戸市笠原町９７８－６,029-301-1111,140.44408,36.34068,1,「茨城県水戸市笠原町978番地」の代表点
EOwQGk,09,栃木,トチギ,県/,ケン/,栃木県,都道府県,lasdec:090000/jisx0401:09,宇都宮市塙田１－１－２０,028-623-2323,139.88351,36.56613,1,「栃木県宇都宮市塙田一丁目1番」の代表点
H0N402,10,群馬,グンマ,県/,ケン/,群馬県,都道府県,lasdec:100005/jisx0401:10,前橋市大手町１－１－１,027-223-1111,139.06073,36.39088,1,「群馬県前橋市大手町一丁目1番」の代表点
K4YgOK,11,埼玉,サイタマ,県/,ケン/,埼玉県,都道府県,lasdec:110001/jisx0401:11,さいたま市浦和区高砂３－１５－１,048-824-2111,139.649,35.85736,1,「埼玉県さいたま市浦和区高砂三丁目15番」の代表点
Mgau8s,12,千葉,チバ,県/,ケン/,千葉県,都道府県,lasdec:120006/jisx0401:12,千葉市中央区市場町１－１,043-223-2110,140.12313,35.60428,1,「千葉県千葉市中央区市場町1番」の代表点
QknGsa,13,東京,トウキョウ,都/,ト/,東京都,都道府県,lasdec:130001/jisx0401:13,新宿区西新宿２－８－１,03-5321-1111,139.69178,35.68963,1,「東京都新宿区西新宿二丁目8番」の代表点
TwySgS,14,神奈川,カナガワ,県/,ケン/,神奈川県,都道府県,lasdec:140007/jisx0401:14,横浜市中区日本大通１,045-210-1111,139.64259,35.4477,1,「神奈川県横浜市中区日本大通1番地」の代表点
WAK44A,15,新潟,ニイガタ,県/,ケン/,新潟県,都道府県,lasdec:150002/jisx0401:15,新潟市中央区新光町４－１,025-285-5511,139.02334,37.90246,1,「新潟県新潟市中央区新光町4番」の代表点
ZESenh,16,富山,トヤマ,県/,ケン/,富山県,都道府県,lasdec:160008/jisx0401:16,富山市新総曲輪１－７,076-431-4111,137.21081,36.6958,1,「富山県富山市新総曲輪1番」の代表点
2Q8sG0,17,石川,イシカワ,県/,ケン/,石川県,都道府県,lasdec:170003/jisx0401:17,金沢市鞍月１－１,076-225-1111,136.62535,36.59482,1,「石川県金沢市鞍月一丁目1番地」の代表点
5UgCuH,18,福井,フクイ,県/,ケン/,福井県,都道府県,lasdec:180009/jisx0401:18,福井市大手３－１７－１,0776-21-1111,136.22128,36.06562,1,「福井県福井市大手三丁目17番」の代表点
86wQOq,19,山梨,ヤマナシ,県/,ケン/,山梨県,都道府県,lasdec:190004/jisx0401:19,甲府市丸の内１－６－１,055-237-1111,138.56906,35.66488,1,「山梨県甲府市丸の内一丁目6番」の代表点
baE067,20,長野,ナガノ,県/,ケン/,長野県,都道府県,lasdec:200000/jisx0401:20,長野市大字南長野字幅下６９２－２,026-232-0111,138.180944,36.651278,1,Wikipedia「長野県庁」の座標
enUeqP,21,岐阜,ギフ,県/,ケン/,岐阜県,都道府県,lasdec:210005/jisx0401:21,岐阜市藪田南２－１－１,058-272-1111,136.72271,35.39169,1,「岐阜県岐阜市薮田南二丁目1番」の代表点
hq2qex,22,静岡,シズオカ,県/,ケン/,静岡県,都道府県,lasdec:220001/jisx0401:22,静岡市葵区追手町９－６,054-221-2455,138.38132,34.977,1,「静岡県静岡市葵区追手町9番」の代表点
kueCyg,23,愛知,アイチ,県/,ケン/,愛知県,都道府県,lasdec:230006/jisx0401:23,名古屋市中区三の丸３－１－２,052-961-2111,136.90658,35.18083,1,「愛知県名古屋市中区三の丸三丁目1番」の代表点
mGqOnX,24,三重,ミエ,県/,ケン/,三重県,都道府県,lasdec:240001/jisx0401:24,津市広明町１３,059-224-3070,136.50889,34.73057,1,「三重県津市広明町13番地」の代表点
qKC0aF,25,滋賀,シガ,県/,ケン/,滋賀県,都道府県,lasdec:250007/jisx0401:25,大津市京町４－１－１,077-528-3046,135.8686,35.00418,1,「滋賀県大津市京町四丁目1番」の代表点
tWOcYm,26,京都,キョウト,府/,フ/,京都府,都道府県,lasdec:260002/jisx0401:26,京都市上京区下立売通新町西入薮ノ内町,075-451-8111,135.75563,35.02141,1,「京都府京都市上京区藪之内町」の代表点
w00oN5,27,大阪,オオサカ,府/,フ/,大阪府,都道府県,lasdec:270008/jisx0401:27,大阪市中央区大手前２－１－２２,06-6941-0351,135.51931,34.68692,1,「大阪府大阪市中央区大手前二丁目1番」の代表点
zcgCCO,28,兵庫,ヒョウゴ,県/,ケン/,兵庫県,都道府県,lasdec:280003/jisx0401:28,神戸市中央区下山手通５－１０－１,078-341-7711,135.18325,34.69118,1,「兵庫県神戸市中央区下山手通五丁目10番」の代表点
CgoNUv,29,奈良,ナラ,県/,ケン/,奈良県,都道府県,lasdec:290009/jisx0401:29,奈良市登大路町３０,0742-22-1101,135.83282,34.68506,1,「奈良県奈良市登大路町30番地」の代表点
FkAYId,30,和歌山,ワカヤマ,県/,ケン/,和歌山県,都道府県,lasdec:300004/jisx0401:30,和歌山市小松原通１－１,073-432-4111,135.16767,34.22608,1,「和歌山県和歌山市小松原通一丁目1番地」の代表点
IwNawV,31,鳥取,トットリ,県/,ケン/,鳥取県,都道府県,lasdec:310000/jisx0401:31,鳥取市東町１－２２０,0857-26-7111,134.2384,35.50343,1,「鳥取県鳥取市東町一丁目220番地」の代表点
LAYnkC,32,島根,シマネ,県/,ケン/,島根県,都道府県,lasdec:320005/jisx0401:32,松江市殿町１,0852-22-5111,133.04866,35.4766,1,「島根県松江市殿町1番地」の代表点
ONaAal,33,岡山,オカヤマ,県/,ケン/,岡山県,都道府県,lasdec:330001/jisx0401:33,岡山市北区内山下２－４－６,086-224-2111,133.93487,34.66159,1,「岡山県岡山市北区内山下二丁目4番」の代表点
RQnNY3,34,広島,ヒロシマ,県/,ケン/,広島県,都道府県,lasdec:340006/jisx0401:34,広島市中区基町１０－５２,082-228-2111,132.45937,34.39634,1,「広島県広島市中区基町10番」の代表点
U2yYNL,35,山口,ヤマグチ,県/,ケン/,山口県,都道府県,lasdec:350001/jisx0401:35,山口市滝町１－１,083-922-3111,131.4715,34.18597,1,「山口県山口市滝町1番」の代表点
X6KaAt,36,徳島,トクシマ,県/,ケン/,徳島県,都道府県,lasdec:360007/jisx0401:36,徳島市万代町１－１,088-621-2500,134.55961,34.06578,1,「徳島県徳島市万代町一丁目1番地」の代表点
0aSkSa,37,香川,カガワ,県/,ケン/,香川県,都道府県,lasdec:370002/jisx0401:37,高松市番町４－１－１０,087-831-1111,134.0433,34.34044,1,「香川県高松市番町四丁目1番」の代表点
3n8yIT,38,愛媛,エヒメ,県/,ケン/,愛媛県,都道府県,lasdec:380008/jisx0401:38,松山市一番町４－４－２,089-941-2111,132.76611,33.84174,1,「愛媛県松山市一番町四丁目4番」の代表点
6qgI0A,39,高知,コウチ,県/,ケン/,高知県,都道府県,lasdec:390003/jisx0401:39,高知市丸ノ内１－２－２０,088-823-1111,133.52954,33.56137,1,「高知県高知市丸ノ内一丁目2番」の代表点
9CwWki,40,福岡,フクオカ,県/,ケン/,福岡県,都道府県,lasdec:400009/jisx0401:40,福岡市博多区東公園７－７,092-651-1111,130.41802,33.6062,1,「福岡県福岡市博多区東公園7番」の代表点
cGE6C0,41,佐賀,サガ,県/,ケン/,佐賀県,都道府県,lasdec:410004/jisx0401:41,佐賀市城内１－１－５９,0952-24-2111,130.2992,33.24944,1,「佐賀県佐賀市城内一丁目1番」の代表点
fSUkWI,42,長崎,ナガサキ,県/,ケン/,長崎県,都道府県,lasdec:420000/jisx0401:42,長崎市尾上町３－１,095-824-1111,129.8686,32.74982,1,「長崎県長崎市尾上町3番」の代表点
iW2wgq,43,熊本,クマモト,県/,ケン/,熊本県,都道府県,lasdec:430005/jisx0401:43,熊本市中央区水前寺６－１８－１,096-383-1111,130.742,32.78938,1,「熊本県熊本市中央区水前寺六丁目18番」の代表点
l0eI48,44,大分,オオイタ,県/,ケン/,大分県,都道府県,lasdec:440001/jisx0401:44,大分市大手町３－１－１,097-536-1111,131.61243,33.23823,1,「大分県大分市大手町三丁目1番」の代表点
ocuWoQ,45,宮崎,ミヤザキ,県/,ケン/,宮崎県,都道府県,lasdec:450006/jisx0401:45,宮崎市橘通東２－１０－１,0985-26-7111,131.42372,31.91084,1,「宮崎県宮崎市橘通東二丁目10番」の代表点
