geolod_id,entry_id,body,suffix,hypernym,ne_class,latitude,longitude,railway_class,institution_type
xw0uiX,CTbeYV,二月田,駅/,九州旅客鉄道/指宿枕崎線,鉄道施設/鉄道駅,31.25432,130.6301,普通鉄道JR,JR在来線
AIgI8G,CbsmTH,古島,駅/,沖縄都市モノレール/沖縄都市モノレール線,鉄道施設/鉄道駅,26.23064,127.70294,跨座式モノレール,第三セクター
DNoSqm,4xmG7L,お台場海浜公園,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.629805000000005,139.77853,案内軌条式,第三セクター
GQA4e5,H3StBW,東京国際クルーズターミナル,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.621357445,139.77310318000002,案内軌条式,第三セクター
J2Ng2M,LdRQmq,テレコムセンター,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.617725,139.77966500000002,案内軌条式,第三セクター
N6YsQv,7A2zxP,汐留,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.662985,139.760075,案内軌条式,第三セクター
PiaGGe,M35bvz,台場,駅,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.625870000000006,139.77137499999998,案内軌条式,第三セクター
SnnSuV,NRecGy,有明,駅,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.63455,139.79334,案内軌条式,第三セクター
Vyy4iD,EuJav7,東京ビッグサイト,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.63021,139.7913,案内軌条式,第三セクター
YCKg6l,LaXZF5,新橋,駅,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.66558333333333,139.75958666666668,案内軌条式,第三セクター
1GSqo2,I2b7k7,竹芝,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.654065,139.762015,案内軌条式,第三セクター
4S8EeL,7wksWw,芝浦ふ頭,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.64222,139.75787,案内軌条式,第三セクター
7WgOwt,75nUzW,日の出,駅,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.64926,139.75916,案内軌条式,第三セクター
a8w2Qb,Gk2lht,青海,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.6248,139.781315,案内軌条式,第三セクター
dcIeET,AQ4EUi,新豊洲,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.64871,139.79011500000001,案内軌条式,第三セクター
goUqsA,D4ulBy,市場前,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.64569,139.78565,案内軌条式,第三セクター
js6Eij,Axapxv,有明テニスの森,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.63998,139.788895,案内軌条式,第三セクター
nweOA1,K7TvFP,豊洲,駅/,ゆりかもめ/東京臨海新交通臨海線,鉄道施設/鉄道駅,35.653705,139.795435,案内軌条式,第三セクター
pIu2UJ,3mLZI4,新石切,駅/,近畿日本鉄道/けいはんな線,鉄道施設/鉄道駅,34.680096666666664,135.64109666666667,軌道,民営鉄道
sNCccq,DiPkbb,長田,駅/,近畿日本鉄道/けいはんな線,鉄道施設/鉄道駅,34.678754999999995,135.591965,軌道,民営鉄道
vYSqw9,vG5QMx,吉田,駅/,近畿日本鉄道/けいはんな線,鉄道施設/鉄道駅,34.680335,135.624515,軌道,民営鉄道
y20AkQ,LELplr,荒本,駅/,近畿日本鉄道/けいはんな線,鉄道施設/鉄道駅,34.678625,135.60499,軌道,民営鉄道
BegOEz,3Zj42W,生駒,駅/,近畿日本鉄道/けいはんな線,鉄道施設/鉄道駅,34.6931,135.698055,普通鉄道,民営鉄道
EioYWg,EwvgbD,学研奈良登美ヶ丘,駅/,近畿日本鉄道/けいはんな線,鉄道施設/鉄道駅,34.726385,135.74916000000002,普通鉄道,民営鉄道
HnAaKY,AsrZ4m,白庭台,駅/,近畿日本鉄道/けいはんな線,鉄道施設/鉄道駅,34.72103,135.71683000000002,普通鉄道,民営鉄道
KyNnyG,YVCqK8,学研北生駒,駅/,近畿日本鉄道/けいはんな線,鉄道施設/鉄道駅,34.724845,135.72342,普通鉄道,民営鉄道
MCYySo,8c75r2,ポートターミナル,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.681455,135.20222,案内軌条式鉄道,第三セクター
QOaNc6,bBMsdM,中埠頭,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.669285,135.21717,案内軌条式鉄道,第三セクター
TSnY0O,G9eEX5,市民広場,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.664905000000005,135.21244,案内軌条式,第三セクター
W4Cckw,lL35na,貿易センター,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.689365,135.19946,案内軌条式,第三セクター
Z8KnCe,6onDDz,三宮,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.694509999999994,135.195295,案内軌条式,第三セクター
2cWyWW,4IRlvQ,北埠頭,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.673564999999996,135.21451,案内軌条式鉄道,第三セクター
5o8KKE,65k8vd,南公園,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.66467,135.21706999999998,案内軌条式鉄道,第三セクター
8skWyn,ALpbZe,みなとじま,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.669065,135.209995,案内軌条式,第三セクター
bEw8n3,JwBxAX,中公園,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.673095,135.20752,案内軌条式鉄道,第三セクター
eIIkaL,KlXRKj,医療センター,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.658519999999996,135.21641,案内軌条式,第三セクター
hUUwut,Bvv7td,京コンピュータ前,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.65481,135.22153500000002,案内軌条式,第三セクター
kY6KOc,L6HwaR,神戸空港,駅/,神戸新交通/ポートアイランド線,鉄道施設/鉄道駅,34.63735,135.228975,案内軌条式,第三セクター
m2eU6T,DP3Ulu,岩瀬浜,駅/,富山地方鉄道/富山港線,鉄道施設/鉄道駅,36.761269999999996,137.23411,普通鉄道,民営鉄道
qeu8qB,6LGGka,競輪場前,駅/,富山地方鉄道/富山港線,鉄道施設/鉄道駅,36.75749,137.233945,普通鉄道,民営鉄道
tiCiIj,6HzoUu,東岩瀬,駅/,富山地方鉄道/富山港線,鉄道施設/鉄道駅,36.751945,137.230505,普通鉄道,民営鉄道
wuSwy2,Ydahlr,インテック本社前,駅/,富山地方鉄道/富山港線,鉄道施設/鉄道駅,36.703625,137.21641499999998,軌道,民営鉄道
zy0GQJ,Jc6xdv,萩浦小学校前,駅/,富山地方鉄道/富山港線,鉄道施設/鉄道駅,36.74803981,137.2283632,普通鉄道,民営鉄道
CKgUar,58Intr,蓮町（馬場記念公園前）,駅/,富山地方鉄道/富山港線,鉄道施設/鉄道駅,36.742215,137.22759000000002,普通鉄道,民営鉄道
FOo4s8,Dc6mAp,犬島新町,駅/,富山地方鉄道/富山港線,鉄道施設/鉄道駅,36.735095,137.22663,普通鉄道,民営鉄道
ISAggQ,HQxMMG,城川原,駅/,富山地方鉄道/富山港線,鉄道施設/鉄道駅,36.73113,137.22609999999997,普通鉄道,民営鉄道
